Year,TeamID,LgID,GP_H,R_Off_H,R_Def_H,HR_Off_H,HR_Def_H,AB_Off_H,H_Off_H,D_Off_H,T_Off_H,RBI_Off_H,SH_Off_H,SF_Off_H,HBP_Off_H,BB_Off_H,IW_Off_H,K_Off_H,SB_Off_H,CS_Off_H,GDP_Off_H,AB_Def_H,H_Def_H,D_Def_H,T_Def_H,RBI_Def_H,SH_Def_H,SF_Def_H,HBP_Def_H,BB_Def_H,IW_Def_H,K_Def_H,SB_Def_H,CS_Def_H,GDP_Def_H
1871,BS1,na,17,223,165,2,1,764,227,38,18,151,0,0,0,21,,7,33,,,740,202,32,13,117,0,0,0,16,,16,19,,
1871,CH1,na,17,197,139,6,3,739,192,29,13,125,0,0,0,34,,14,47,,,711,186,26,9,85,0,0,0,15,,14,24,,
1871,CL1,na,13,119,162,4,10,533,152,17,26,82,0,0,0,11,,5,7,,,540,149,13,9,99,0,0,0,32,,16,34,,
1871,FW1,na,9,78,112,0,0,368,99,14,3,55,0,0,0,20,,4,10,,,404,123,24,7,74,0,0,0,11,,14,5,,
1871,NY2,na,19,178,127,0,4,813,233,24,15,125,0,0,0,25,,8,30,,,745,172,17,7,84,0,0,0,18,,15,24,,
1871,PH1,na,14,180,124,3,0,637,191,24,14,113,0,0,0,30,,11,26,,,567,157,21,15,90,0,0,0,24,,10,28,,
1871,RC1,na,7,72,66,0,0,284,77,15,10,42,0,0,0,12,,9,13,,,293,79,13,8,50,0,0,0,8,,2,1,,
1871,TRO,na,17,200,231,4,3,729,235,28,26,137,0,0,0,25,,10,37,,,763,275,36,19,150,0,0,0,42,,4,29,,
1871,WS3,na,14,166,120,5,2,628,200,31,15,121,0,0,0,24,,8,23,,,564,152,30,11,83,0,0,0,25,,8,30,,
1872,BL1,na,29,321,189,12,3,1284,372,,,196,0,0,0,,,,,,0,1118,252,,,116,0,0,0,,,,,,2
1872,BR1,na,14,75,167,0,1,449,95,,,31,0,0,0,,,,,,1,570,191,,,88,0,0,0,,,,,,2
1872,BR2,na,18,153,265,0,4,741,206,,,83,0,0,0,,,,,,2,891,312,,,180,0,0,0,,,,,,3
1872,BS1,na,21,249,87,2,0,951,315,,,174,0,0,0,,,,,,1,778,188,,,50,0,0,0,,,,,,7
1872,CL1,na,7,46,65,0,3,291,89,,,35,0,0,0,,,,,,1,295,74,,,42,0,0,0,,,,,,1
1872,MID,na,11,130,133,1,0,402,124,,,50,0,0,0,,,,,,0,412,141,,,73,0,0,0,,,,,,0
1872,NY2,na,29,263,144,2,0,1255,351,,,151,0,0,0,,,,,,7,1151,285,,,94,0,0,0,,,,,,4
1872,PH1,na,28,371,171,3,1,1324,444,,,254,0,0,0,,,,,,7,1111,272,,,100,0,0,0,,,,,,5
1872,TRO,na,12,126,96,3,0,517,152,,,91,0,0,0,,,,,,3,501,136,,,66,0,0,0,,,,,,2
1872,WS3,na,7,34,105,0,0,274,62,,,21,0,0,0,,,,,,2,341,113,,,62,0,0,0,,,,,,1
1872,WS4,na,7,65,135,0,0,249,53,,,26,0,0,0,,,,,,0,307,108,,,68,0,0,0,,,,,,0
1873,BL1,na,27,376,196,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,BL4,na,1,3,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,BR2,na,29,211,228,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,BS1,na,30,422,216,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,ELI,na,8,34,101,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,NY2,na,31,286,170,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,PH1,na,27,298,165,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,PH2,na,28,292,189,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,WS5,na,18,157,205,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,BL1,na,20,115,177,1,1,772,190,,,,0,0,0,,,,5,,0,845,219,,,,0,0,0,,,,1,,
1874,BR2,na,29,170,165,0,5,1144,268,,,,0,0,0,,,,3,,0,1135,269,,,,0,0,0,,,,9,,
1874,BS1,na,35,403,193,10,1,1578,527,,,,0,0,0,,,,24,,0,1387,397,,,,0,0,0,,,,3,,
1874,CH2,na,28,228,174,2,1,1214,366,,,,0,0,0,,,,30,,0,1120,287,,,,0,0,0,,,,25,,
1874,HR1,na,31,245,250,1,1,1287,357,,,,0,0,0,,,,16,,0,1330,367,,,,0,0,0,,,,13,,
1874,NY2,na,35,307,173,5,3,1519,425,,,,0,0,0,,,,27,,0,1346,342,,,,0,0,0,,,,22,,
1874,PH1,na,29,275,183,6,3,1225,362,,,,0,0,0,,,,16,,0,1135,272,,,,0,0,0,,,,10,,
1874,PH2,na,25,246,166,1,0,1086,315,,,,0,0,0,,,,13,,0,1022,263,,,,0,0,0,,,,9,,
1875,BR2,na,27,79,249,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,BS1,na,37,380,119,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,CH2,na,33,211,199,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,HR1,na,39,289,155,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,KEO,na,8,30,57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,NH1,na,27,87,211,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,NY2,na,36,179,223,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,PH1,na,38,388,190,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,PH2,na,33,231,176,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,PH3,na,7,25,77,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,SL1,na,14,50,108,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,SL2,na,34,183,135,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,WS6,na,12,45,158,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,BSN,NL,36,253,200,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,CHN,NL,31,352,143,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,CN1,NL,30,119,243,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,HAR,NL,32,220,107,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,LS1,NL,33,149,154,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,NY3,NL,33,143,207,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,PHN,NL,35,259,309,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,SL3,NL,30,150,58,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,BSN,NL,32,260,110,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,CHN,NL,29,206,156,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,CN1,NL,31,161,209,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,HAR,NL,29,167,92,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,LS1,NL,29,211,168,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,SL3,NL,30,176,124,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,BSN,NL,30,171,104,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,CHN,NL,35,226,210,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,CN1,NL,34,190,126,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,IN1,NL,28,106,115,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,ML2,NL,25,127,177,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,PRO,NL,32,182,170,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,BFN,NL,40,222,204,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,BSN,NL,42,308,165,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,CHN,NL,43,264,192,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,CL2,NL,42,167,236,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,CN1,NL,37,215,196,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,PRO,NL,42,323,143,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,SR1,NL,34,115,200,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,TRN,NL,41,191,263,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,BFN,NL,43,170,225,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,BSN,NL,43,213,191,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,CHN,NL,43,284,148,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,CL2,NL,44,190,171,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,CN1,NL,40,163,216,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,PRO,NL,44,210,116,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,TRN,NL,41,204,258,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,WOR,NL,42,247,186,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,BFN,NL,41,241,206,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,BSN,NL,41,153,180,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,CHN,NL,42,309,187,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,CL2,NL,42,190,185,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,DTN,NL,42,252,213,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,PRO,NL,43,207,194,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,TRN,NL,43,222,195,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,WOR,NL,42,240,253,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,BL2,AA,33,121,212,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,CN2,AA,42,270,130,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,LS2,AA,39,215,129,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,PH4,AA,39,236,220,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,PT1,AA,37,202,192,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,SL4,AA,44,247,260,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,BFN,NL,39,286,184,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,BSN,NL,43,263,191,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,CHN,NL,45,360,140,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,CL2,NL,42,175,170,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,DTN,NL,43,221,238,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,PRO,NL,42,247,172,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,TRN,NL,42,238,217,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,WOR,NL,42,216,338,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,BL2,AA,49,298,395,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,CL5,AA,47,199,283,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,CN2,AA,51,387,166,29,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,LS2,AA,47,279,220,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,NY4,AA,47,270,187,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,PH4,AA,51,403,261,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,PT1,AA,49,292,321,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,SL4,AA,49,298,197,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,BFN,NL,49,355,241,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,BSN,NL,49,391,190,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,CHN,NL,49,410,253,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,CL2,NL,49,248,203,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,DTN,NL,51,264,280,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,NY1,NL,49,292,262,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,PHI,NL,50,224,439,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,PRO,NL,49,330,186,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,BL2,AA,57,371,223,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,BR3,AA,52,263,265,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,CL5,AA,55,282,207,25,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,CN2,AA,57,439,233,31,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,IN2,AA,55,231,374,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,LS2,AA,56,278,145,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,NY4,AA,55,370,179,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,PH4,AA,54,438,268,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,PT1,AA,56,225,350,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,RIC,AA,22,96,142,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,SL4,AA,55,386,269,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,TL1,AA,55,267,266,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
